"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_gender.post_update.php:84","1 profile field value have been moved.","","","False","","",""
"social_gender.post_update.php:71","1 profile have been processed.","","","False","","",""
"social_gender.module:20","About","A propos","","False","","",""
"social_gender.permissions.yml:0","Administer Gender Settings","Administrer les paramètres de genre","","False","","",""
"social_gender.permissions.yml:0","Allow access to the gender settings form to configure general gender options.","Autoriser l'accès aux paramètres de genre pour configurer les options générales.","","False","","",""
"social_gender.info.yml:0","Contains field configuration for profile entity for gender listing.","","","False","","",""
"src/Plugin/UserExportPlugin/UserGender.php:23;8","Gender","Genre","","False","","",""
"social_gender.routing.yml:0","Gender settings","Paramètres du genre","","False","","",""
"src/Form/SocialGenderSettingsForm.php:35","Genders","Genres","","False","","",""
"social_gender.links.menu.yml:0","Manage the list of available genders.","Gérer la liste des genres disponibles.","","False","","",""
"social_gender.post_update.php:24","No data for moving.","","","False","","",""
"social_gender.info.yml:0","Social","Social","","False","","",""
"social_gender.info.yml:0","Social Gender","Genre social","","False","","",""
"config/schema/social_gender.schema.yml:0","Social Gender settings","Paramètres de genre social","","False","","",""
