"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_role_visibility.module:40","About","","",FALSE,"","",""
"social_role_visibility.module:41","Add a new visibility option","","",FALSE,"","",""
"social_role_visibility.info.yml:0","Add a new visibility option based on roles","","",FALSE,"","",""
"social_role_visibility.module:962","CM+","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:67","If enabled, Content Managers will not be able to see or edit content that has visibility enabled for that role.","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:87","Limit access to profile details","","",FALSE,"","",""
"social_role_visibility.module:300","Please select role(s)","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:66","Restrict access for Content Managers","","",FALSE,"","",""
"config/schema/social_role_visibility.schema.yml:0","Restrict access for Content managers","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:60","Show this role as a visibility option","","",FALSE,"","",""
"social_role_visibility.info.yml:0","Social","","",FALSE,"","",""
"social_role_visibility.info.yml:0","Social Role Visibility","","",FALSE,"","",""
"social_role_visibility.module:395","The @name doesn't have enough permissions to see the group content.","","",FALSE,"","",""
"social_role_visibility.module:381","The group visibility is set to @role, the user @name doesn't have this role.","","",FALSE,"","",""
"config/schema/social_role_visibility.schema.yml:0","Third party settings for role visibility","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:88","This option lets you hide this role’s profile details from people with different roles. People with the same role will still be able to interact with each other’s profile details.","","",FALSE,"","",""
"social_role_visibility.module:951;981","Visibility by role","","",FALSE,"","",""
"src/Service/VisibilityElementManager.php:275","Visible only to @label members","","",FALSE,"","",""
"social_role_visibility.module:550","You can not delete this role because you have follow entities with this visibility (see above)","","",FALSE,"","",""
"src/Form/VisibilityRoleForm.php:145","You can not uncheck this box because you have follow entities with this visibility (see above)","","",FALSE,"","",""
"social_role_visibility.module:952","only visible to members with the assigned role(s)","","",FALSE,"","",""
