"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"embed.module:33","A CKEditor button with ID %id already exists.","Un tasto CKEditor con ID %id già esiste.","","False","","",""
"src/Form/EmbedButtonForm.php:90","A unique machine-readable name for this embed button. It must only contain lowercase letters, numbers, and underscores.","","","False","","",""
"embed.routing.yml:0","Add embed button","","","False","","",""
"src/Form/EmbedButtonForm.php:228","Added embed button %label.","","","False","","",""
"embed.permissions.yml:0","Administer embed buttons","","","False","","",""
"config/schema/embed.schema.yml:0","Base-64 encoded image contents","","","False","","",""
"src/Form/EmbedButtonForm.php:132","Button icon","","","False","","",""
"src/Form/EmbedButtonForm.php:149","Current icon preview","","","False","","",""
"embed.routing.yml:0","Delete embed button","","","False","","",""
"config/schema/embed.schema.yml:0","Deprecated icon image file entity UUID","","","False","","",""
"embed.routing.yml:0","Edit embed button","","","False","","",""
"embed.info.yml:0","Embed","Integra","","False","","",""
"src/Entity/EmbedButton.php:11","Embed button","","","False","","",""
"embed.routing.yml:0","Embed buttons","","","False","","",""
"config/schema/embed.schema.yml:0","Embed settings","","","False","","",""
"src/Form/EmbedButtonForm.php:95","Embed type","","","False","","",""
"config/schema/embed.schema.yml:0","Embed type plugin ID","","","False","","",""
"config/schema/embed.schema.yml:0","Embed type settings","","","False","","",""
"src/Form/EmbedSettingsForm.php:78","File directory","Cartella file","","False","","",""
"config/schema/embed.schema.yml:0","File scheme for button icons","","","False","","",""
"embed.info.yml:0","Filters","","","False","","",""
"src/EmbedButtonListBuilder.php:21","Icon","Icona","","False","","",""
"src/EmbedButtonListBuilder.php:39","Icon for the @label button.","","","False","","",""
"config/schema/embed.schema.yml:0","Image file URI","","","False","","",""
"config/schema/embed.schema.yml:0","Image icon data","","","False","","",""
"src/Form/EmbedButtonForm.php:74","Label","Etichetta","","False","","",""
"embed.links.task.yml:0","List","Elenco","","False","","",""
"config/schema/embed.schema.yml:0","Machine name","Nome ad uso interno","","False","","",""
"embed.links.menu.yml:0","Manage text editor embed buttons.","","","False","","",""
"config/schema/embed.schema.yml:0","Name","","","False","","",""
"src/Form/EmbedButtonForm.php:106","No embed types found.","","","False","","",""
"src/EmbedButtonListBuilder.php:43","None","nessuno","","False","","",""
"src/Form/EmbedSettingsForm.php:80","Optional subdirectory within the upload destination where files will be stored. Do not include preceding or trailing slashes.","Sottocartella opzionale all'interno della destinazione del file da caricare. Non includere slash iniziali o finali.","","False","","",""
"src/Form/EmbedButtonForm.php:154","Preview of @label button icon","","","False","","",""
"embed.info.yml:0","Provides a framework for different types of embeds in text editors.","","","False","","",""
"src/Form/EmbedButtonForm.php:143","Reset to default icon","","","False","","",""
"src/Form/EmbedSettingsForm.php:73","Select where the uploaded button icon files should be stored.","","","False","","",""
"embed.routing.yml:0","Settings","Impostazioni","","False","","",""
"embed.links.menu.yml:0","Text editor embed buttons","","","False","","",""
"embed.module:105","The %filter-label filter must be enabled to use the %button button.","","","False","","",""
"src/Form/EmbedButtonForm.php:227","The embed button %label has been added.","","","False","","",""
"src/Form/EmbedButtonForm.php:223","The embed button %label has been updated.","","","False","","",""
"embed.post_update.php:30","The embed button @label had an uploaded icon image file with UUID @uuid, but it no longer exists in the database. It has been reverted back to the default button icon and you may wish to re-upload a new version.","","","False","","",""
"src/Form/EmbedButtonForm.php:77","The human-readable name of this embed button. This text will be displayed when the user hovers over the CKEditor button. This name must be unique.","","","False","","",""
"src/Entity/EmbedButton.php:101","Unknown","Sconosciuto","","False","","",""
"src/Form/EmbedButtonForm.php:224","Updated embed button %label.","","","False","","",""
"src/Form/EmbedSettingsForm.php:70","Upload destination","Destinazione file caricati","","False","","",""
"config/schema/embed.schema.yml:0","Upload directory for button icons","","","False","","",""
