"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_poll.info.yml:0","Allows community managers to create polls for their members.","","",FALSE,"","",""
"config/install/core.entity_view_mode.poll.block.yml:0","Block","Blocco","",FALSE,"","",""
"config/install/core.entity_view_mode.poll.group.yml:0","Group","","",FALSE,"","",""
"config/optional/block.block.socialblue_group_polls_block.yml:0","Group polls","","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Lists (Views)","Elenchi (visualizzazioni)","",FALSE,"","",""
"templates/block--social-poll-recent-block.html.twig:38","Most recent Poll","Sondaggio più recente","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Most recent poll","Sondaggio più recente","",FALSE,"","",""
"config/optional/field.field.paragraph.poll_item.field_poll.yml:0","Poll","Sondaggio","",FALSE,"","",""
"config/optional/paragraphs.paragraphs_type.poll_item.yml:0","Poll item","Elemento del sondaggio","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:75","Select a poll you would like to show in the block, leave it empty to show the most recently created.","Seleziona un sondaggio che desideri mostrare nel blocco, lascialo vuoto per mostrare l'ultimo creato.","",FALSE,"","",""
"src/Plugin/Block/SocialPollRecentBlock.php:74","Select a poll.","Seleziona un sondaggio.","",FALSE,"","",""
"social_poll.info.yml:0","Social","Social","",FALSE,"","",""
"social_poll.info.yml:0","Social Poll","Sondaggio Social","",FALSE,"","",""
