"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/OAuthKeyForm.php:148","'%dir does not exist.'","","","False","","",""
"src/Form/OAuthKeyForm.php:167","'%value is not a valid name for a key file.'","","","False","","",""
"src/Form/OAuthKeyForm.php:89","A key pair already exists and will be overwritten if you generate new keys.","","","False","","",""
"src/Form/OAuthKeyForm.php:209","A key pair was generated successfully.","","","False","","",""
"lightning_api.routing.yml:0","API","","","False","","",""
"src/Form/OAuthKeyForm.php:103","Advanced","","","False","","",""
"modules/simple_oauth_extras/simple_oauth_extras.info.yml:0","Authentication","","","False","","",""
"lightning_api.links.menu.yml:0","Configure Lightning API settings.","","","False","","",""
"lightning_api.info.yml:0","Content API","","","False","","",""
"config/schema/lightning_api.schema.yml:0","Content API settings","","","False","","",""
"lightning_api.install:211","Deprecated dependency: OpenAPI REST","","","False","","",""
"src/Form/OAuthKeyForm.php:94","Destination","","","False","","",""
"config/schema/lightning_api.schema.yml:0","Expose ""View API Documentation"" link in bundle entity operations","","","False","","",""
"config/schema/lightning_api.schema.yml:0","Expose ""View JSON"" link in entity operations","","","False","","",""
"src/Form/SettingsForm.php:40","Expose a ""View API Documentation"" link in bundle entity operations","","","False","","",""
"src/Form/SettingsForm.php:35","Expose a ""View JSON"" link in entity operations","","","False","","",""
"src/Form/OAuthKeyForm.php:108","File name of the generated private key. Will be automatically generated if left empty.","","","False","","",""
"src/Form/OAuthKeyForm.php:116","File name of the generated public key. Will be automatically generated if left empty.","","","False","","",""
"src/Form/OAuthKeyForm.php:128","Generate keys","","","False","","",""
"lightning_api.info.yml:0","Lightning","","","False","","",""
"src/Form/OAuthKeyForm.php:123","OpenSSL configuration file","","","False","","",""
"src/Form/OAuthKeyForm.php:95","Path to the directory in which to store the generated keys.","","","False","","",""
"src/Form/OAuthKeyForm.php:124","Path to the openssl.cnf configuration file. PHP will attempt to auto-detect this if not specified.","","","False","","",""
"modules/simple_oauth_extras/simple_oauth_extras.info.yml:0","Placeholder for the old Simple OAuth Extras module which was merged into the Simple OAuth module.","","","False","","",""
"src/Form/OAuthKeyForm.php:107","Private key name","","","False","","",""
"lightning_api.info.yml:0","Progressive decoupling? No problem.","","","False","","",""
"src/Form/OAuthKeyForm.php:115","Public key name","","","False","","",""
"lightning_api.install:143","Redirect URI","","","False","","",""
"lightning_api.links.task.yml:0","Settings","","","False","","",""
"modules/simple_oauth_extras/simple_oauth_extras.info.yml:0","Simple OAuth Extras","","","False","","",""
"lightning_api.install:212","The OpenAPI REST module currently ships with Lightning API, but it will not in Lightning API 5.0. If you intend to continue using it, you should explicitly add it to your project now, for example: <code>composer require drupal/openapi_rest</code>. Otherwise, you may want to <a href="":uninstall_url"">uninstall it now</a>.","","","False","","",""
"src/Form/OAuthKeyForm.php:84","The OpenSSL extension is unavailable. Please enable it to generate OAuth keys.","","","False","","",""
"lightning_api.install:144","The URI this client will redirect to when needed.","","","False","","",""
"lightning_api.install:160","User","","","False","","",""
"lightning_api.module:113","View API documentation","","","False","","",""
"lightning_api.module:94","View JSON","","","False","","",""
"lightning_api.install:161","When no specific user is authenticated Drupal will use this user as the author of all the actions made.","","","False","","",""
"src/RequestSubscriber.php:65","You may wish to <a href="":generate_keys"">generate a key pair</a> for OAuth authentication.","","","False","","",""
