"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Entity/Consumer.php:129","A description of the consumer. This text will be shown to the users to authorize sharing their data to create an access token.","","","False","","",""
"consumers.post_update.php:42","A flag indicating whether this is the default translation.","Un campo che indica se questa è la traduzione predefinita.","","False","","",""
"consumers.links.action.yml:0","Add Consumer","","","False","","",""
"consumers.permissions.yml:0","Administer Consumer entities","","","False","","",""
"consumers.permissions.yml:0","Allow to access the administration form to configure Consumer entities.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:15","Are you sure you want to make %consumer the default consumer?","","","False","","",""
"consumers.info.yml:0","Authentication","Autenticazione","","False","","",""
"src/Entity/Consumer.php:99","Client ID","","","False","","",""
"src/Entity/Consumer.php:14","Consumer","","","False","","",""
"consumers.links.menu.yml:0","Consumers","Clienti","","False","","",""
"consumers.post_update.php:52","Consumers have been converted to be translatable.","","","False","","",""
"consumers.permissions.yml:0","Create new Consumer entities","","","False","","",""
"src/Entity/Form/ConsumerForm.php:48","Created the %label Consumer.","","","False","","",""
"consumers.info.yml:0","Declare all the consumers of your API","","","False","","",""
"src/ConsumerListBuilder.php:47","Default","Predefinito","","False","","",""
"consumers.post_update.php:41","Default translation","Traduzione di default","","False","","",""
"consumers.permissions.yml:0","Delete Consumer entities","","","False","","",""
"src/Entity/Consumer.php:128","Description","Descrizione","","False","","",""
"consumers.permissions.yml:0","Edit Consumer entities","","","False","","",""
"src/Entity/Form/ConsumerForm.php:23","Generate random Client ID","","","False","","",""
"src/ConsumerListBuilder.php:20","Is Default?","","","False","","",""
"src/Entity/Consumer.php:165","Is this consumer 3rd party?","","","False","","",""
"src/Entity/Consumer.php:180","Is this the default consumer?","","","False","","",""
"src/Entity/Consumer.php:111","Label","Etichetta","","False","","",""
"consumers.post_update.php:27","Language","Lingua","","False","","",""
"src/Entity/Consumer.php:144","Logo","","","False","","",""
"src/Entity/Consumer.php:145","Logo of the consumer.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:36","Make Default","","","False","","",""
"src/Entity/Consumer.php:166","Mark this if the organization behind this consumer is not the same as the one behind the Drupal API.","","","False","","",""
"consumers.links.menu.yml:0","Register and configure the decoupled consumers to your API.","","","False","","",""
"src/Entity/Form/ConsumerForm.php:54","Saved the %label Consumer.","","","False","","",""
"src/Negotiator.php:69","The ""_consumer_id"" query string parameter is deprecated and it will be removed in the next major version of the module, please use ""consumerId"" instead.","","","False","","",""
"consumers.install:148","The client ID associated with this consumer.","","","False","","",""
"src/Entity/Consumer.php:100","The client ID associated with this consumer. This is an arbitrary unique field, like a machine name.","","","False","","",""
"src/Entity/Form/MakeDefaultForm.php:22","The consumer currently marked as default will lose this property, since there can only be one default consumer. This may break current assumptions in existing client-side applications.","","","False","","",""
"src/Entity/Consumer.php:112","The consumer label.","","","False","","",""
"src/Entity/Consumer.php:181","There can only be one default consumer. Mark this to use this consumer when none other applies.","","","False","","",""
"src/ConsumerListBuilder.php:18","UUID","","","False","","",""
"consumers.install:111","User ID","ID utente","","False","","",""
"consumers.permissions.yml:0","View Consumer entities","","","False","","",""
